first call	mean (ms)	std		second call	mean	std
org.springframework.http.client.reactive.ReactorClientHttpConnector.lambda$connect$1(java.util.function.Function,org.springframework.http.HttpMethod,java.net.URI,reactor.ipc.netty.http.client.HttpClientRequest)	87.1029901	10.87553574		org.springframework.web.reactive.function.client.DefaultWebClient$DefaultResponseSpec.lambda$bodyToMono$0(java.lang.Class,org.springframework.web.reactive.function.client.ClientResponse)	6.090926596	0.8931489412
org.springframework.http.client.reactive.ReactorClientHttpConnector.adaptRequest(org.springframework.http.HttpMethod,java.net.URI,reactor.ipc.netty.http.client.HttpClientRequest)	81.68129705	10.34279576		org.springframework.web.reactive.function.client.DefaultClientResponse.bodyToMono(java.lang.Class)	5.667225051	0.8473224341
org.springframework.web.reactive.function.client.ClientRequest.create(org.springframework.http.HttpMethod,java.net.URI)	57.18817282	10.39770435		org.springframework.web.reactive.function.client.DefaultClientResponse.body(org.springframework.web.reactive.function.BodyExtractor)	5.584731455	0.8398819318
org.springframework.web.reactive.function.client.DefaultWebClient$DefaultResponseSpec.lambda$bodyToMono$0(java.lang.Class,org.springframework.web.reactive.function.client.ClientResponse)	52.91184422	7.650044515		org.springframework.web.reactive.function.BodyExtractors.lambda$toMono$2(org.springframework.core.ResolvableType,org.springframework.http.ReactiveHttpInputMessage,org.springframework.web.reactive.function.BodyExtractor$Context)	5.567203657	0.838354116
org.springframework.web.reactive.function.client.DefaultClientResponse.bodyToMono(java.lang.Class)	48.90581635	7.113350169		org.springframework.web.reactive.function.BodyExtractors.readWithMessageReaders(org.springframework.http.ReactiveHttpInputMessage,org.springframework.web.reactive.function.BodyExtractor$Context,org.springframework.core.ResolvableType,java.util.function.Function,java.util.function.Function,java.util.function.Supplier)	5.544795101	0.8351970931
org.springframework.web.util.DefaultUriBuilderFactory.expand(java.lang.String,java.lang.Object[])	40.44145944	5.122677584		org.springframework.web.util.DefaultUriBuilderFactory.expand(java.lang.String,java.lang.Object[])	3.259517374	0.4902441701
org.springframework.web.reactive.function.client.DefaultClientResponse.body(org.springframework.web.reactive.function.BodyExtractor)	35.0136104	5.136176173		org.springframework.web.util.DefaultUriBuilderFactory$DefaultUriBuilder.build(java.lang.Object[])	2.921659475	0.4688281279
org.springframework.web.reactive.function.BodyExtractors.lambda$toMono$2(org.springframework.core.ResolvableType,org.springframework.http.ReactiveHttpInputMessage,org.springframework.web.reactive.function.BodyExtractor$Context)	33.89822394	5.006335707		org.springframework.web.util.DefaultUriBuilderFactory$DefaultUriBuilder.createUri(org.springframework.web.util.UriComponents)	1.930291343	0.3156258888
org.springframework.web.reactive.function.BodyExtractors.readWithMessageReaders(org.springframework.http.ReactiveHttpInputMessage,org.springframework.web.reactive.function.BodyExtractor$Context,org.springframework.core.ResolvableType,java.util.function.Function,java.util.function.Function,java.util.function.Supplier)	32.92373835	4.891248293		org.springframework.web.util.UriComponents.encode()	1.649200414	0.2690030079
org.springframework.web.util.DefaultUriBuilderFactory$DefaultUriBuilder.build(java.lang.Object[])	32.163933	4.043202283		org.springframework.web.util.HierarchicalUriComponents.encode(java.nio.charset.Charset)	1.632444515	0.266846011
org.springframework.web.reactive.function.BodyExtractors.lambda$null$0(org.springframework.web.reactive.function.BodyExtractor$Context,org.springframework.http.ReactiveHttpInputMessage,org.springframework.core.ResolvableType,org.springframework.http.codec.HttpMessageReader)	18.99252223	3.690955499		org.springframework.web.util.HierarchicalUriComponents.encode(java.nio.charset.Charset)	1.615477798	0.2646704095
org.springframework.http.codec.DecoderHttpMessageReader.readMono(org.springframework.core.ResolvableType,org.springframework.http.ReactiveHttpInputMessage,java.util.Map)	18.90323467	3.681491236		org.springframework.web.reactive.function.BodyExtractors.lambda$null$0(org.springframework.web.reactive.function.BodyExtractor$Context,org.springframework.http.ReactiveHttpInputMessage,org.springframework.core.ResolvableType,org.springframework.http.codec.HttpMessageReader)	1.372803838	0.2306676493
org.springframework.core.codec.AbstractDataBufferDecoder.decodeToMono(org.reactivestreams.Publisher,org.springframework.core.ResolvableType,org.springframework.util.MimeType,java.util.Map)	15.7568063	3.431968355		org.springframework.http.codec.DecoderHttpMessageReader.readMono(org.springframework.core.ResolvableType,org.springframework.http.ReactiveHttpInputMessage,java.util.Map)	1.318855677	0.2213761972
org.springframework.web.util.UriComponentsBuilder.build()	14.57039978	2.406176771		org.springframework.web.reactive.function.BodyExtractors.contentType(org.springframework.http.HttpMessage)	1.259015495	0.2389637759
org.springframework.web.util.UriComponentsBuilder.build(boolean)	14.51537091	2.402237865		org.springframework.web.reactive.function.BodyExtractors.lambda$readWithMessageReaders$18(org.springframework.core.ResolvableType,org.springframework.http.MediaType,org.springframework.http.codec.HttpMessageReader)	1.214687727	0.2135336115
org.springframework.web.util.DefaultUriBuilderFactory$DefaultUriBuilder.createUri(org.springframework.web.util.UriComponents)	14.30210178	2.278700448		org.springframework.http.codec.DecoderHttpMessageReader.getContentType(org.springframework.http.HttpMessage)	1.201703525	0.203015411
org.springframework.web.util.UriComponents.encode()	13.93848286	2.235264622		org.springframework.http.codec.FormHttpMessageReader.canRead(org.springframework.core.ResolvableType,org.springframework.http.MediaType)	1.196755717	0.2104740843
org.springframework.web.util.HierarchicalUriComponents.encode(java.nio.charset.Charset)	13.91193983	2.232707208		org.springframework.http.client.reactive.ReactorClientHttpResponse.getHeaders()	0.7219161313	0.1556068714
org.springframework.web.util.HierarchicalUriComponents.encode(java.nio.charset.Charset)	13.89098963	2.231242537		org.springframework.http.client.reactive.ReactorClientHttpResponse.getHeaders()	0.7100869798	0.1325150612
org.springframework.http.client.reactive.ReactorClientHttpResponse.lambda$getBody$0(io.netty.buffer.ByteBuf)	10.85112306	2.232045641		org.springframework.core.ResolvableType.isAssignableFrom(org.springframework.core.ResolvableType)	0.6162314949	0.1287751944
org.springframework.core.io.buffer.NettyDataBufferFactory.wrap(io.netty.buffer.ByteBuf)	10.82073174	2.228950647		org.springframework.web.util.UriComponents.expand(java.lang.Object[])	0.6016318485	0.2095254457
org.springframework.web.reactive.function.client.DefaultWebClient.get()	9.684875216	1.533073038		org.springframework.core.ResolvableType.isAssignableFrom(org.springframework.core.ResolvableType,java.util.Map)	0.5991788788	0.1224574728
