first call	mean	std
reactor.ipc.netty.resources.DefaultPoolResources$Pool.channelCreated(io.netty.channel.Channel)	212.7690476	14.81781336
reactor.ipc.netty.channel.ContextHandler.accept(java.lang.Object)	101.7739683	7.98404849
org.springframework.web.reactive.function.client.DefaultWebClient$DefaultResponseSpec.lambda$bodyToMono$0(java.lang.Class,org.springframework.web.reactive.function.client.ClientResponse)	54.63619048	3.988940834
reactor.ipc.netty.channel.ContextHandler.createOperations(io.netty.channel.Channel,java.lang.Object)	50.50714286	4.970028402
org.springframework.web.reactive.function.client.DefaultClientResponse.bodyToMono(java.lang.Class)	49.79634921	3.66674039
reactor.ipc.netty.http.client.HttpClient$TcpBridgeClient.lambda$doHandler$0(java.util.function.Consumer,java.util.function.BiFunction,io.netty.channel.socket.SocketChannel,reactor.ipc.netty.channel.ContextHandler,java.lang.Object)	49.66761905	4.920230255
reactor.ipc.netty.channel.ContextHandler.accept(io.netty.channel.Channel)	49.5052381	3.196421539
org.springframework.web.reactive.function.client.DefaultClientResponse.body(org.springframework.web.reactive.function.BodyExtractor)	48.85031746	3.611904905
org.springframework.web.reactive.function.BodyExtractors.lambda$toMono$2(org.springframework.core.ResolvableType,org.springframework.http.ReactiveHttpInputMessage,org.springframework.web.reactive.function.BodyExtractor$Context)	47.55047619	3.455702638
org.springframework.web.reactive.function.BodyExtractors.readWithMessageReaders(org.springframework.http.ReactiveHttpInputMessage,org.springframework.web.reactive.function.BodyExtractor$Context,org.springframework.core.ResolvableType,java.util.function.Function,java.util.function.Function,java.util.function.Supplier)	46.56301587	3.393362164
reactor.ipc.netty.http.client.HttpClient$TcpBridgeClient.accept(java.lang.Object,java.lang.Object)	35.92587302	2.843385884
org.springframework.web.util.DefaultUriBuilderFactory.expand(java.lang.String,java.lang.Object[])	33.5431746	15.02812737
reactor.ipc.netty.http.client.MonoHttpClientResponse$HttpClientHandler.apply(java.lang.Object,java.lang.Object)	30.96809524	3.320205032
reactor.ipc.netty.http.client.MonoHttpClientResponse$HttpClientHandler.apply(reactor.ipc.netty.NettyInbound,reactor.ipc.netty.NettyOutbound)	30.89269841	3.312456148
reactor.ipc.netty.http.client.HttpClient.lambda$handler$4(java.util.function.Function,reactor.ipc.netty.http.client.HttpClientRequest)	29.9668254	3.243311959
org.springframework.http.client.reactive.ReactorClientHttpConnector.lambda$connect$1(java.util.function.Function,org.springframework.http.HttpMethod,java.net.URI,reactor.ipc.netty.http.client.HttpClientRequest)	29.82793651	3.233335866
reactor.ipc.netty.http.client.HttpClient$TcpBridgeClient.accept(io.netty.channel.ChannelPipeline,reactor.ipc.netty.channel.ContextHandler)	27.09015873	2.059302927
org.springframework.web.reactive.function.BodyExtractors.lambda$null$0(org.springframework.web.reactive.function.BodyExtractor$Context,org.springframework.http.ReactiveHttpInputMessage,org.springframework.core.ResolvableType,org.springframework.http.codec.HttpMessageReader)	26.76952381	2.162671356
org.springframework.http.codec.DecoderHttpMessageReader.readMono(org.springframework.core.ResolvableType,org.springframework.http.ReactiveHttpInputMessage,java.util.Map)	26.57936508	2.148526164
reactor.ipc.netty.FutureMono$DeferredFutureMono.subscribe(reactor.core.CoreSubscriber)	26.17206349	2.215013819
org.springframework.web.util.DefaultUriBuilderFactory$DefaultUriBuilder.build(java.lang.Object[])	22.89968254	2.806018457
